id;descrizioneCompleta;Peso;;produttore;;;;;;;;;;;;;;
MIE75;Miele millefiori di montagna g 250;250;;Chiri Marco;;;;;;;;;;;;;;
MIE76;Nocciolim nocciole in miele acacia g 225;225;;Chiri Marco;;;;;;;;;;;;;;
PROPOLI1;Propoli con miele g 250;250;;Chiri Marco;;;;;;;;;;;;;;
AGRIDETERGENTI1;Detergente per pavimenti  l 1;1;lt;Le Erbe di Brillor;;;;;;;;;;;;;;
AGRIDETERGENTI2;Detergente per piatti  l 1;1;lt;Le Erbe di Brillor;;;;;;;;;;;;;;
AGRIDETERGENTI3;Detergente per bucato  l 1;1;lt;Le Erbe di Brillor;;;;;;;;;;;;;;
AGRIDETERGENTI5;Detergente milleusi l 1;1;lt;Le Erbe di Brillor;;;;;;;;;;;;;;
AGRIDETERGENTI6;Detergente sgrassatutto l 1;1;lt;Le Erbe di Brillor;;;;;;;;;;;;;;
AGRIDETERGENTI7;Detergente per lavastoviglie l 1;1;lt;Le Erbe di Brillor;;;;;;;;;;;;;;
SPUGNA2;Spugna di Luffa ;;;Le Erbe di Brillor;;;;;;;;;;;;;;
LIQ5;Grappa di Moscato cl 50;50;cl;Azienda agricola La Ca' Nova;;;;;;;;;;;;;;
LIQ6;Grappa di Barbaresco cl 50 ;50;cl;Azienda agricola La Ca' Nova;;;;;;;;;;;;;;
FORCAFRE29;Feta di capra g 300;300;;Azienda agricola Glauco Luigi;;;;;;;;;;;;;;
FORCAFRE30;Ricotta di capra g 350;350;;Azienda agricola Glauco Luigi;;;;;;;;;;;;;;
FORCAFRE31;Primo sale di capra g 250;250;;Azienda agricola Glauco Luigi;;;;;;;;;;;;;;
FORCAFRE32;Primo sale di capra senza sale g 250;250;;Azienda agricola Glauco Luigi;;;;;;;;;;;;;;
FORCASTAG14;Caciotta di capra g 200;200;;Azienda agricola Glauco Luigi;;;;;;;;;;;;;;
FOROVCAFRE5;Robiola di Castelnuovo g 200;200;;Azienda agricola Glauco Luigi;;;;;;;;;;;;;;
FORVASEMISTAG27;Toma dolce g 200;200;;Azienda agricola Glauco Luigi;;;;;;;;;;;;;;
VERDAROMAPRE1;Prezzemolo g 50;50;;Azienda  agricola Silvano Galfione;;;;;;;;;;;;;;
VERDAROMATICCU1;Cumino g 50 ;50;;Azienda  agricola Silvano Galfione;;;;;;;;;;;;;;
VERDAROMATICFI1;Finocchietto g 50 ;50;;Azienda  agricola Silvano Galfione;;;;;;;;;;;;;;
VERDAROMATICSA1;Santoreggia g 50 ;50;;Azienda  agricola Silvano Galfione;;;;;;;;;;;;;;
VERDCATALOGNA18;Catalogna g 500;500;;Azienda  agricola Silvano Galfione;;;;;;;;;;;;;;
CERFAR38;Riso Vialone nano semilavorato kg 1;1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERFAR59;Farina Taylor integrale g 500;500;;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERFAR64;Farina di segale g 500;500;;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERFAR65;Farina di riso Maratelli g 500;500;;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERFAR79;Riso Vialone nano integrale kg 1;1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERPASFARROCORT;Gnocchetti di farro g 500;500;;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERPASGDUROC20;Gnocchetti di grano duro Duilio g 500;500;;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERPASGDUROC21;Strozzapreti di grano duro Duilio g 500;500;;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERPASSEGALEC1;Gnocchetti di segale g 500;500;;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERRIS29;Riso rosso S. Eusebio semilavorato kg 1;Riso rosso S. Eusebio semilavorato kg 1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERRIS30;Riso rosso S. Eusebio integrale kg 1;Riso rosso S. Eusebio integrale kg 1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
CERRIS31;Riso Carnaroli integrale kg 1;Riso Carnaroli integrale kg 1;kg;Azienda agricola Cascina Canta;;;;;;;;;;;;;;
